"epoch","cnn_lstm_20_5_final_pretrained_45 - _step","cnn_lstm_20_5_final_pretrained_45 - _step__MIN","cnn_lstm_20_5_final_pretrained_45 - _step__MAX","cnn_lstm_20_5_final_pretrained_45 - val/loss","cnn_lstm_20_5_final_pretrained_45 - val/loss__MIN","cnn_lstm_20_5_final_pretrained_45 - val/loss__MAX","cnn_lstm_50_10_final_pretrained_48 - _step","cnn_lstm_50_10_final_pretrained_48 - _step__MIN","cnn_lstm_50_10_final_pretrained_48 - _step__MAX","cnn_lstm_50_10_final_pretrained_48 - val/loss","cnn_lstm_50_10_final_pretrained_48 - val/loss__MIN","cnn_lstm_50_10_final_pretrained_48 - val/loss__MAX","cnn_lstm_50_50_final_pretrained_43 - _step","cnn_lstm_50_50_final_pretrained_43 - _step__MIN","cnn_lstm_50_50_final_pretrained_43 - _step__MAX","cnn_lstm_50_50_final_pretrained_43 - val/loss","cnn_lstm_50_50_final_pretrained_43 - val/loss__MIN","cnn_lstm_50_50_final_pretrained_43 - val/loss__MAX"
"10","10","10","10","1.4833588600158691","1.4833588600158691","1.4833588600158691","10","10","10","1.49053955078125","1.49053955078125","1.49053955078125","13","13","13","0.873856782913208","0.873856782913208","0.873856782913208"
"11","11","11","11","1.45469069480896","1.45469069480896","1.45469069480896","11","11","11","1.4917452335357666","1.4917452335357666","1.4917452335357666","14","14","14","0.8745731711387634","0.8745731711387634","0.8745731711387634"
"12","12","12","12","1.4376518726348877","1.4376518726348877","1.4376518726348877","12","12","12","1.509486198425293","1.509486198425293","1.509486198425293","15","15","15","0.968080461025238","0.968080461025238","0.968080461025238"
"13","13","13","13","1.4262046813964844","1.4262046813964844","1.4262046813964844","13","13","13","1.5056992769241333","1.5056992769241333","1.5056992769241333","17","17","17","0.8933637142181396","0.8933637142181396","0.8933637142181396"
"14","14","14","14","1.4158315658569336","1.4158315658569336","1.4158315658569336","14","14","14","1.5095062255859375","1.5095062255859375","1.5095062255859375","18","18","18","0.8417055010795593","0.8417055010795593","0.8417055010795593"
"15","15","15","15","1.4092094898223877","1.4092094898223877","1.4092094898223877","15","15","15","1.5378825664520264","1.5378825664520264","1.5378825664520264","19","19","19","0.7283707857131958","0.7283707857131958","0.7283707857131958"
"16","16","16","16","1.400770902633667","1.400770902633667","1.400770902633667","17","17","17","1.502315878868103","1.502315878868103","1.502315878868103","21","21","21","0.7607967853546143","0.7607967853546143","0.7607967853546143"
"17","17","17","17","1.3930103778839111","1.3930103778839111","1.3930103778839111","18","18","18","1.4633488655090332","1.4633488655090332","1.4633488655090332","22","22","22","0.6774699687957764","0.6774699687957764","0.6774699687957764"
"18","18","18","18","1.3869460821151733","1.3869460821151733","1.3869460821151733","19","19","19","1.4360458850860596","1.4360458850860596","1.4360458850860596","23","23","23","0.7905278205871582","0.7905278205871582","0.7905278205871582"
"19","19","19","19","1.3817591667175293","1.3817591667175293","1.3817591667175293","20","20","20","1.3938779830932617","1.3938779830932617","1.3938779830932617","25","25","25","0.8095883131027222","0.8095883131027222","0.8095883131027222"
"20","20","20","20","1.3772482872009277","1.3772482872009277","1.3772482872009277","21","21","21","1.438382863998413","1.438382863998413","1.438382863998413","26","26","26","0.8749353885650635","0.8749353885650635","0.8749353885650635"
"21","21","21","21","1.3733012676239014","1.3733012676239014","1.3733012676239014","22","22","22","1.3378957509994507","1.3378957509994507","1.3378957509994507","27","27","27","0.7072089910507202","0.7072089910507202","0.7072089910507202"
"22","22","22","22","1.3700389862060547","1.3700389862060547","1.3700389862060547","23","23","23","1.3231289386749268","1.3231289386749268","1.3231289386749268","28","28","28","0.7540442943572998","0.7540442943572998","0.7540442943572998"
"23","23","23","23","1.3674232959747314","1.3674232959747314","1.3674232959747314","24","24","24","1.3194541931152344","1.3194541931152344","1.3194541931152344","30","30","30","0.7125033140182495","0.7125033140182495","0.7125033140182495"
"24","24","24","24","1.36515212059021","1.36515212059021","1.36515212059021","25","25","25","1.280987024307251","1.280987024307251","1.280987024307251","31","31","31","0.669000506401062","0.669000506401062","0.669000506401062"
"25","25","25","25","1.3656268119812012","1.3656268119812012","1.3656268119812012","26","26","26","1.253304123878479","1.253304123878479","1.253304123878479","32","32","32","0.6988310813903809","0.6988310813903809","0.6988310813903809"
"26","26","26","26","1.3647059202194214","1.3647059202194214","1.3647059202194214","27","27","27","1.257899284362793","1.257899284362793","1.257899284362793","34","34","34","0.7247281670570374","0.7247281670570374","0.7247281670570374"
"27","27","27","27","1.3672544956207275","1.3672544956207275","1.3672544956207275","28","28","28","1.2575652599334717","1.2575652599334717","1.2575652599334717","35","35","35","0.7060060501098633","0.7060060501098633","0.7060060501098633"
"28","28","28","28","1.373427391052246","1.373427391052246","1.373427391052246","29","29","29","1.268591046333313","1.268591046333313","1.268591046333313","36","36","36","0.6971197128295898","0.6971197128295898","0.6971197128295898"
"29","29","29","29","1.3728992938995361","1.3728992938995361","1.3728992938995361","30","30","30","1.2893476486206055","1.2893476486206055","1.2893476486206055","38","38","38","0.7280886173248291","0.7280886173248291","0.7280886173248291"
"30","30","30","30","1.3725439310073853","1.3725439310073853","1.3725439310073853","31","31","31","1.2516969442367554","1.2516969442367554","1.2516969442367554","39","39","39","0.6769019961357117","0.6769019961357117","0.6769019961357117"
"31","31","31","31","1.3755207061767578","1.3755207061767578","1.3755207061767578","32","32","32","1.241385579109192","1.241385579109192","1.241385579109192","40","40","40","0.6840680241584778","0.6840680241584778","0.6840680241584778"
"32","32","32","32","1.3798809051513672","1.3798809051513672","1.3798809051513672","33","33","33","1.2523893117904663","1.2523893117904663","1.2523893117904663","41","41","41","0.755749523639679","0.755749523639679","0.755749523639679"
"33","33","33","33","1.3809012174606323","1.3809012174606323","1.3809012174606323","35","35","35","1.252922773361206","1.252922773361206","1.252922773361206","43","43","43","0.7310318946838379","0.7310318946838379","0.7310318946838379"
"34","34","34","34","1.3833214044570923","1.3833214044570923","1.3833214044570923","36","36","36","1.2385971546173096","1.2385971546173096","1.2385971546173096","44","44","44","0.7119076251983643","0.7119076251983643","0.7119076251983643"
"35","35","35","35","1.3856556415557861","1.3856556415557861","1.3856556415557861","37","37","37","1.2361019849777222","1.2361019849777222","1.2361019849777222","45","45","45","0.7442879676818848","0.7442879676818848","0.7442879676818848"
"36","36","36","36","1.3891386985778809","1.3891386985778809","1.3891386985778809","38","38","38","1.2118109464645386","1.2118109464645386","1.2118109464645386","47","47","47","0.7461748123168945","0.7461748123168945","0.7461748123168945"
"37","37","37","37","1.3942830562591553","1.3942830562591553","1.3942830562591553","39","39","39","1.2311296463012695","1.2311296463012695","1.2311296463012695","48","48","48","0.8089591264724731","0.8089591264724731","0.8089591264724731"
"38","38","38","38","1.4003970623016357","1.4003970623016357","1.4003970623016357","40","40","40","1.2043509483337402","1.2043509483337402","1.2043509483337402","49","49","49","0.7476620674133301","0.7476620674133301","0.7476620674133301"
"39","39","39","39","1.406501293182373","1.406501293182373","1.406501293182373","41","41","41","1.2186121940612793","1.2186121940612793","1.2186121940612793","51","51","51","0.7466440200805664","0.7466440200805664","0.7466440200805664"
"40","40","40","40","1.4131731986999512","1.4131731986999512","1.4131731986999512","42","42","42","1.212288737297058","1.212288737297058","1.212288737297058","","","","","",""
"41","41","41","41","1.4212051630020142","1.4212051630020142","1.4212051630020142","43","43","43","1.2276599407196045","1.2276599407196045","1.2276599407196045","","","","","",""
