"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"waveIn","waveIn","9","nijmafiu","6451","cnn_lstm_50_30_final_pretrained_50"
"waveIn","waveOut","9","nijmafiu","58","cnn_lstm_50_30_final_pretrained_50"
"waveOut","fist","9","nijmafiu","81","cnn_lstm_50_30_final_pretrained_50"
"waveOut","noGesture","9","nijmafiu","9","cnn_lstm_50_30_final_pretrained_50"
"waveOut","open","9","nijmafiu","1375","cnn_lstm_50_30_final_pretrained_50"
"waveOut","pinch","9","nijmafiu","302","cnn_lstm_50_30_final_pretrained_50"
"waveOut","waveIn","9","nijmafiu","89","cnn_lstm_50_30_final_pretrained_50"
"waveOut","waveOut","9","nijmafiu","5794","cnn_lstm_50_30_final_pretrained_50"
"fist","fist","8","047j62p4","5980","cnn_lstm_50_30_final_pretrained_49"
"fist","noGesture","8","047j62p4","14","cnn_lstm_50_30_final_pretrained_49"
"fist","open","8","047j62p4","654","cnn_lstm_50_30_final_pretrained_49"
"fist","pinch","8","047j62p4","653","cnn_lstm_50_30_final_pretrained_49"
"fist","waveIn","8","047j62p4","332","cnn_lstm_50_30_final_pretrained_49"
"fist","waveOut","8","047j62p4","17","cnn_lstm_50_30_final_pretrained_49"
"noGesture","fist","8","047j62p4","2","cnn_lstm_50_30_final_pretrained_49"
"noGesture","noGesture","8","047j62p4","7537","cnn_lstm_50_30_final_pretrained_49"
"noGesture","open","8","047j62p4","22","cnn_lstm_50_30_final_pretrained_49"
"noGesture","pinch","8","047j62p4","49","cnn_lstm_50_30_final_pretrained_49"
"noGesture","waveIn","8","047j62p4","32","cnn_lstm_50_30_final_pretrained_49"
"noGesture","waveOut","8","047j62p4","8","cnn_lstm_50_30_final_pretrained_49"
"open","fist","8","047j62p4","379","cnn_lstm_50_30_final_pretrained_49"
"open","noGesture","8","047j62p4","5","cnn_lstm_50_30_final_pretrained_49"
"open","open","8","047j62p4","5571","cnn_lstm_50_30_final_pretrained_49"
"open","pinch","8","047j62p4","1061","cnn_lstm_50_30_final_pretrained_49"
"open","waveIn","8","047j62p4","43","cnn_lstm_50_30_final_pretrained_49"
"open","waveOut","8","047j62p4","591","cnn_lstm_50_30_final_pretrained_49"
"pinch","fist","8","047j62p4","653","cnn_lstm_50_30_final_pretrained_49"
"pinch","noGesture","8","047j62p4","53","cnn_lstm_50_30_final_pretrained_49"
"pinch","open","8","047j62p4","1303","cnn_lstm_50_30_final_pretrained_49"
"pinch","pinch","8","047j62p4","5368","cnn_lstm_50_30_final_pretrained_49"
"pinch","waveIn","8","047j62p4","128","cnn_lstm_50_30_final_pretrained_49"
"pinch","waveOut","8","047j62p4","145","cnn_lstm_50_30_final_pretrained_49"
"waveIn","fist","8","047j62p4","498","cnn_lstm_50_30_final_pretrained_49"
"waveIn","noGesture","8","047j62p4","51","cnn_lstm_50_30_final_pretrained_49"
"waveIn","open","8","047j62p4","225","cnn_lstm_50_30_final_pretrained_49"
"waveIn","pinch","8","047j62p4","233","cnn_lstm_50_30_final_pretrained_49"
"waveIn","waveIn","8","047j62p4","6532","cnn_lstm_50_30_final_pretrained_49"
"waveIn","waveOut","8","047j62p4","111","cnn_lstm_50_30_final_pretrained_49"
"waveOut","fist","8","047j62p4","35","cnn_lstm_50_30_final_pretrained_49"
"waveOut","noGesture","8","047j62p4","8","cnn_lstm_50_30_final_pretrained_49"
"waveOut","open","8","047j62p4","875","cnn_lstm_50_30_final_pretrained_49"
"waveOut","pinch","8","047j62p4","111","cnn_lstm_50_30_final_pretrained_49"
"waveOut","waveIn","8","047j62p4","20","cnn_lstm_50_30_final_pretrained_49"
"waveOut","waveOut","8","047j62p4","6601","cnn_lstm_50_30_final_pretrained_49"
"fist","fist","7","v7vw0xn6","6297","cnn_lstm_50_30_final_pretrained_48"
"fist","noGesture","7","v7vw0xn6","5","cnn_lstm_50_30_final_pretrained_48"
"fist","open","7","v7vw0xn6","220","cnn_lstm_50_30_final_pretrained_48"
"fist","pinch","7","v7vw0xn6","864","cnn_lstm_50_30_final_pretrained_48"
"fist","waveIn","7","v7vw0xn6","257","cnn_lstm_50_30_final_pretrained_48"
"fist","waveOut","7","v7vw0xn6","7","cnn_lstm_50_30_final_pretrained_48"
"noGesture","fist","7","v7vw0xn6","10","cnn_lstm_50_30_final_pretrained_48"
"noGesture","noGesture","7","v7vw0xn6","7387","cnn_lstm_50_30_final_pretrained_48"
"noGesture","open","7","v7vw0xn6","123","cnn_lstm_50_30_final_pretrained_48"
"noGesture","pinch","7","v7vw0xn6","20","cnn_lstm_50_30_final_pretrained_48"
"noGesture","waveIn","7","v7vw0xn6","97","cnn_lstm_50_30_final_pretrained_48"
"noGesture","waveOut","7","v7vw0xn6","13","cnn_lstm_50_30_final_pretrained_48"
"open","fist","7","v7vw0xn6","290","cnn_lstm_50_30_final_pretrained_48"
"open","noGesture","7","v7vw0xn6","10","cnn_lstm_50_30_final_pretrained_48"
"open","open","7","v7vw0xn6","4987","cnn_lstm_50_30_final_pretrained_48"
"open","pinch","7","v7vw0xn6","1398","cnn_lstm_50_30_final_pretrained_48"
"open","waveIn","7","v7vw0xn6","51","cnn_lstm_50_30_final_pretrained_48"
"open","waveOut","7","v7vw0xn6","914","cnn_lstm_50_30_final_pretrained_48"
"pinch","fist","7","v7vw0xn6","833","cnn_lstm_50_30_final_pretrained_48"
"pinch","noGesture","7","v7vw0xn6","32","cnn_lstm_50_30_final_pretrained_48"
"pinch","open","7","v7vw0xn6","943","cnn_lstm_50_30_final_pretrained_48"
"pinch","pinch","7","v7vw0xn6","5627","cnn_lstm_50_30_final_pretrained_48"
