"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","6","eg1fmiky","775","cnn_lstm_1_1_thesis_pretrained_51"
"fist","noGesture","6","eg1fmiky","1125","cnn_lstm_1_1_thesis_pretrained_51"
"fist","open","6","eg1fmiky","3366","cnn_lstm_1_1_thesis_pretrained_51"
"fist","pinch","6","eg1fmiky","493","cnn_lstm_1_1_thesis_pretrained_51"
"fist","waveIn","6","eg1fmiky","244","cnn_lstm_1_1_thesis_pretrained_51"
"fist","waveOut","6","eg1fmiky","1647","cnn_lstm_1_1_thesis_pretrained_51"
"noGesture","fist","6","eg1fmiky","85","cnn_lstm_1_1_thesis_pretrained_51"
"noGesture","noGesture","6","eg1fmiky","6920","cnn_lstm_1_1_thesis_pretrained_51"
"noGesture","open","6","eg1fmiky","43","cnn_lstm_1_1_thesis_pretrained_51"
"noGesture","pinch","6","eg1fmiky","504","cnn_lstm_1_1_thesis_pretrained_51"
"noGesture","waveIn","6","eg1fmiky","55","cnn_lstm_1_1_thesis_pretrained_51"
"noGesture","waveOut","6","eg1fmiky","43","cnn_lstm_1_1_thesis_pretrained_51"
"open","fist","6","eg1fmiky","945","cnn_lstm_1_1_thesis_pretrained_51"
"open","noGesture","6","eg1fmiky","1182","cnn_lstm_1_1_thesis_pretrained_51"
"open","open","6","eg1fmiky","2740","cnn_lstm_1_1_thesis_pretrained_51"
"open","pinch","6","eg1fmiky","476","cnn_lstm_1_1_thesis_pretrained_51"
"open","waveIn","6","eg1fmiky","490","cnn_lstm_1_1_thesis_pretrained_51"
"open","waveOut","6","eg1fmiky","1817","cnn_lstm_1_1_thesis_pretrained_51"
"pinch","fist","6","eg1fmiky","604","cnn_lstm_1_1_thesis_pretrained_51"
"pinch","noGesture","6","eg1fmiky","982","cnn_lstm_1_1_thesis_pretrained_51"
"pinch","open","6","eg1fmiky","3287","cnn_lstm_1_1_thesis_pretrained_51"
"pinch","pinch","6","eg1fmiky","396","cnn_lstm_1_1_thesis_pretrained_51"
"pinch","waveIn","6","eg1fmiky","300","cnn_lstm_1_1_thesis_pretrained_51"
"pinch","waveOut","6","eg1fmiky","2081","cnn_lstm_1_1_thesis_pretrained_51"
"waveIn","fist","6","eg1fmiky","825","cnn_lstm_1_1_thesis_pretrained_51"
"waveIn","noGesture","6","eg1fmiky","1025","cnn_lstm_1_1_thesis_pretrained_51"
"waveIn","open","6","eg1fmiky","3263","cnn_lstm_1_1_thesis_pretrained_51"
"waveIn","pinch","6","eg1fmiky","408","cnn_lstm_1_1_thesis_pretrained_51"
"waveIn","waveIn","6","eg1fmiky","377","cnn_lstm_1_1_thesis_pretrained_51"
"waveIn","waveOut","6","eg1fmiky","1752","cnn_lstm_1_1_thesis_pretrained_51"
"waveOut","fist","6","eg1fmiky","811","cnn_lstm_1_1_thesis_pretrained_51"
"waveOut","noGesture","6","eg1fmiky","1193","cnn_lstm_1_1_thesis_pretrained_51"
"waveOut","open","6","eg1fmiky","2585","cnn_lstm_1_1_thesis_pretrained_51"
"waveOut","pinch","6","eg1fmiky","562","cnn_lstm_1_1_thesis_pretrained_51"
"waveOut","waveIn","6","eg1fmiky","422","cnn_lstm_1_1_thesis_pretrained_51"
"waveOut","waveOut","6","eg1fmiky","2077","cnn_lstm_1_1_thesis_pretrained_51"
"fist","fist","5","0kiqm0jx","1792","cnn_lstm_1_1_thesis_pretrained_50"
"fist","noGesture","5","0kiqm0jx","2153","cnn_lstm_1_1_thesis_pretrained_50"
"fist","open","5","0kiqm0jx","344","cnn_lstm_1_1_thesis_pretrained_50"
"fist","pinch","5","0kiqm0jx","961","cnn_lstm_1_1_thesis_pretrained_50"
"fist","waveIn","5","0kiqm0jx","145","cnn_lstm_1_1_thesis_pretrained_50"
"fist","waveOut","5","0kiqm0jx","2255","cnn_lstm_1_1_thesis_pretrained_50"
"noGesture","fist","5","0kiqm0jx","17","cnn_lstm_1_1_thesis_pretrained_50"
"noGesture","noGesture","5","0kiqm0jx","7600","cnn_lstm_1_1_thesis_pretrained_50"
"noGesture","open","5","0kiqm0jx","8","cnn_lstm_1_1_thesis_pretrained_50"
"noGesture","pinch","5","0kiqm0jx","11","cnn_lstm_1_1_thesis_pretrained_50"
"noGesture","waveIn","5","0kiqm0jx","0","cnn_lstm_1_1_thesis_pretrained_50"
"noGesture","waveOut","5","0kiqm0jx","14","cnn_lstm_1_1_thesis_pretrained_50"
"open","fist","5","0kiqm0jx","1519","cnn_lstm_1_1_thesis_pretrained_50"
"open","noGesture","5","0kiqm0jx","3007","cnn_lstm_1_1_thesis_pretrained_50"
"open","open","5","0kiqm0jx","181","cnn_lstm_1_1_thesis_pretrained_50"
"open","pinch","5","0kiqm0jx","689","cnn_lstm_1_1_thesis_pretrained_50"
"open","waveIn","5","0kiqm0jx","59","cnn_lstm_1_1_thesis_pretrained_50"
"open","waveOut","5","0kiqm0jx","2195","cnn_lstm_1_1_thesis_pretrained_50"
"pinch","fist","5","0kiqm0jx","1752","cnn_lstm_1_1_thesis_pretrained_50"
"pinch","noGesture","5","0kiqm0jx","2497","cnn_lstm_1_1_thesis_pretrained_50"
"pinch","open","5","0kiqm0jx","236","cnn_lstm_1_1_thesis_pretrained_50"
"pinch","pinch","5","0kiqm0jx","738","cnn_lstm_1_1_thesis_pretrained_50"
"pinch","waveIn","5","0kiqm0jx","87","cnn_lstm_1_1_thesis_pretrained_50"
"pinch","waveOut","5","0kiqm0jx","2340","cnn_lstm_1_1_thesis_pretrained_50"
"waveIn","fist","5","0kiqm0jx","1760","cnn_lstm_1_1_thesis_pretrained_50"
"waveIn","noGesture","5","0kiqm0jx","2334","cnn_lstm_1_1_thesis_pretrained_50"
"waveIn","open","5","0kiqm0jx","310","cnn_lstm_1_1_thesis_pretrained_50"
"waveIn","pinch","5","0kiqm0jx","879","cnn_lstm_1_1_thesis_pretrained_50"
"waveIn","waveIn","5","0kiqm0jx","89","cnn_lstm_1_1_thesis_pretrained_50"
"waveIn","waveOut","5","0kiqm0jx","2278","cnn_lstm_1_1_thesis_pretrained_50"
"waveOut","fist","5","0kiqm0jx","1541","cnn_lstm_1_1_thesis_pretrained_50"
"waveOut","noGesture","5","0kiqm0jx","2746","cnn_lstm_1_1_thesis_pretrained_50"
"waveOut","open","5","0kiqm0jx","248","cnn_lstm_1_1_thesis_pretrained_50"
"waveOut","pinch","5","0kiqm0jx","821","cnn_lstm_1_1_thesis_pretrained_50"
"waveOut","waveIn","5","0kiqm0jx","57","cnn_lstm_1_1_thesis_pretrained_50"
"waveOut","waveOut","5","0kiqm0jx","2237","cnn_lstm_1_1_thesis_pretrained_50"
"fist","fist","4","225fq3ry","415","cnn_lstm_1_1_thesis_pretrained_49"
"fist","noGesture","4","225fq3ry","2118","cnn_lstm_1_1_thesis_pretrained_49"
"fist","open","4","225fq3ry","2780","cnn_lstm_1_1_thesis_pretrained_49"
"fist","pinch","4","225fq3ry","1364","cnn_lstm_1_1_thesis_pretrained_49"
"fist","waveIn","4","225fq3ry","476","cnn_lstm_1_1_thesis_pretrained_49"
"fist","waveOut","4","225fq3ry","497","cnn_lstm_1_1_thesis_pretrained_49"
"noGesture","fist","4","225fq3ry","44","cnn_lstm_1_1_thesis_pretrained_49"
"noGesture","noGesture","4","225fq3ry","7458","cnn_lstm_1_1_thesis_pretrained_49"
"noGesture","open","4","225fq3ry","31","cnn_lstm_1_1_thesis_pretrained_49"
"noGesture","pinch","4","225fq3ry","38","cnn_lstm_1_1_thesis_pretrained_49"
"noGesture","waveIn","4","225fq3ry","25","cnn_lstm_1_1_thesis_pretrained_49"
"noGesture","waveOut","4","225fq3ry","54","cnn_lstm_1_1_thesis_pretrained_49"
"open","fist","4","225fq3ry","410","cnn_lstm_1_1_thesis_pretrained_49"
"open","noGesture","4","225fq3ry","1940","cnn_lstm_1_1_thesis_pretrained_49"
"open","open","4","225fq3ry","2355","cnn_lstm_1_1_thesis_pretrained_49"
"open","pinch","4","225fq3ry","1734","cnn_lstm_1_1_thesis_pretrained_49"
"open","waveIn","4","225fq3ry","512","cnn_lstm_1_1_thesis_pretrained_49"
"open","waveOut","4","225fq3ry","699","cnn_lstm_1_1_thesis_pretrained_49"
"pinch","fist","4","225fq3ry","389","cnn_lstm_1_1_thesis_pretrained_49"
"pinch","noGesture","4","225fq3ry","1599","cnn_lstm_1_1_thesis_pretrained_49"
"pinch","open","4","225fq3ry","2616","cnn_lstm_1_1_thesis_pretrained_49"
"pinch","pinch","4","225fq3ry","1859","cnn_lstm_1_1_thesis_pretrained_49"
"pinch","waveIn","4","225fq3ry","530","cnn_lstm_1_1_thesis_pretrained_49"
"pinch","waveOut","4","225fq3ry","657","cnn_lstm_1_1_thesis_pretrained_49"
"waveIn","fist","4","225fq3ry","428","cnn_lstm_1_1_thesis_pretrained_49"
"waveIn","noGesture","4","225fq3ry","1957","cnn_lstm_1_1_thesis_pretrained_49"
"waveIn","open","4","225fq3ry","2396","cnn_lstm_1_1_thesis_pretrained_49"
"waveIn","pinch","4","225fq3ry","1496","cnn_lstm_1_1_thesis_pretrained_49"
"waveIn","waveIn","4","225fq3ry","634","cnn_lstm_1_1_thesis_pretrained_49"
"waveIn","waveOut","4","225fq3ry","739","cnn_lstm_1_1_thesis_pretrained_49"
"waveOut","fist","4","225fq3ry","423","cnn_lstm_1_1_thesis_pretrained_49"
"waveOut","noGesture","4","225fq3ry","2048","cnn_lstm_1_1_thesis_pretrained_49"
"waveOut","open","4","225fq3ry","2265","cnn_lstm_1_1_thesis_pretrained_49"
"waveOut","pinch","4","225fq3ry","1670","cnn_lstm_1_1_thesis_pretrained_49"
"waveOut","waveIn","4","225fq3ry","515","cnn_lstm_1_1_thesis_pretrained_49"
"waveOut","waveOut","4","225fq3ry","729","cnn_lstm_1_1_thesis_pretrained_49"
"fist","fist","3","8qgitt6i","1391","cnn_lstm_1_1_thesis_pretrained_48"
"fist","noGesture","3","8qgitt6i","799","cnn_lstm_1_1_thesis_pretrained_48"
