"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"waveIn","noGesture","11","2p7umocn","80","cnn_lstm_50_10_thesis_pretrained_50"
"waveIn","open","11","2p7umocn","208","cnn_lstm_50_10_thesis_pretrained_50"
"waveIn","pinch","11","2p7umocn","466","cnn_lstm_50_10_thesis_pretrained_50"
"waveIn","waveIn","11","2p7umocn","5977","cnn_lstm_50_10_thesis_pretrained_50"
"waveIn","waveOut","11","2p7umocn","94","cnn_lstm_50_10_thesis_pretrained_50"
"waveOut","fist","11","2p7umocn","104","cnn_lstm_50_10_thesis_pretrained_50"
"waveOut","noGesture","11","2p7umocn","51","cnn_lstm_50_10_thesis_pretrained_50"
"waveOut","open","11","2p7umocn","1710","cnn_lstm_50_10_thesis_pretrained_50"
"waveOut","pinch","11","2p7umocn","387","cnn_lstm_50_10_thesis_pretrained_50"
"waveOut","waveIn","11","2p7umocn","127","cnn_lstm_50_10_thesis_pretrained_50"
"waveOut","waveOut","11","2p7umocn","5271","cnn_lstm_50_10_thesis_pretrained_50"
"fist","fist","10","tfnflq2r","4851","cnn_lstm_50_10_thesis_pretrained_49"
"fist","noGesture","10","tfnflq2r","51","cnn_lstm_50_10_thesis_pretrained_49"
"fist","open","10","tfnflq2r","524","cnn_lstm_50_10_thesis_pretrained_49"
"fist","pinch","10","tfnflq2r","726","cnn_lstm_50_10_thesis_pretrained_49"
"fist","waveIn","10","tfnflq2r","1440","cnn_lstm_50_10_thesis_pretrained_49"
"fist","waveOut","10","tfnflq2r","58","cnn_lstm_50_10_thesis_pretrained_49"
"noGesture","fist","10","tfnflq2r","2","cnn_lstm_50_10_thesis_pretrained_49"
"noGesture","noGesture","10","tfnflq2r","7428","cnn_lstm_50_10_thesis_pretrained_49"
"noGesture","open","10","tfnflq2r","5","cnn_lstm_50_10_thesis_pretrained_49"
"noGesture","pinch","10","tfnflq2r","9","cnn_lstm_50_10_thesis_pretrained_49"
"noGesture","waveIn","10","tfnflq2r","189","cnn_lstm_50_10_thesis_pretrained_49"
"noGesture","waveOut","10","tfnflq2r","17","cnn_lstm_50_10_thesis_pretrained_49"
"open","fist","10","tfnflq2r","389","cnn_lstm_50_10_thesis_pretrained_49"
"open","noGesture","10","tfnflq2r","32","cnn_lstm_50_10_thesis_pretrained_49"
"open","open","10","tfnflq2r","4302","cnn_lstm_50_10_thesis_pretrained_49"
"open","pinch","10","tfnflq2r","1348","cnn_lstm_50_10_thesis_pretrained_49"
"open","waveIn","10","tfnflq2r","425","cnn_lstm_50_10_thesis_pretrained_49"
"open","waveOut","10","tfnflq2r","1154","cnn_lstm_50_10_thesis_pretrained_49"
"pinch","fist","10","tfnflq2r","491","cnn_lstm_50_10_thesis_pretrained_49"
"pinch","noGesture","10","tfnflq2r","111","cnn_lstm_50_10_thesis_pretrained_49"
"pinch","open","10","tfnflq2r","886","cnn_lstm_50_10_thesis_pretrained_49"
"pinch","pinch","10","tfnflq2r","4761","cnn_lstm_50_10_thesis_pretrained_49"
"pinch","waveIn","10","tfnflq2r","1047","cnn_lstm_50_10_thesis_pretrained_49"
"pinch","waveOut","10","tfnflq2r","354","cnn_lstm_50_10_thesis_pretrained_49"
"waveIn","fist","10","tfnflq2r","926","cnn_lstm_50_10_thesis_pretrained_49"
"waveIn","noGesture","10","tfnflq2r","147","cnn_lstm_50_10_thesis_pretrained_49"
"waveIn","open","10","tfnflq2r","200","cnn_lstm_50_10_thesis_pretrained_49"
"waveIn","pinch","10","tfnflq2r","729","cnn_lstm_50_10_thesis_pretrained_49"
"waveIn","waveIn","10","tfnflq2r","5483","cnn_lstm_50_10_thesis_pretrained_49"
"waveIn","waveOut","10","tfnflq2r","165","cnn_lstm_50_10_thesis_pretrained_49"
"waveOut","fist","10","tfnflq2r","31","cnn_lstm_50_10_thesis_pretrained_49"
"waveOut","noGesture","10","tfnflq2r","27","cnn_lstm_50_10_thesis_pretrained_49"
"waveOut","open","10","tfnflq2r","1401","cnn_lstm_50_10_thesis_pretrained_49"
"waveOut","pinch","10","tfnflq2r","480","cnn_lstm_50_10_thesis_pretrained_49"
"waveOut","waveIn","10","tfnflq2r","175","cnn_lstm_50_10_thesis_pretrained_49"
