"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","5","33vpaq7p","6087","cnn_lstm_50_10_thesis_51"
"fist","noGesture","5","33vpaq7p","2","cnn_lstm_50_10_thesis_51"
"fist","open","5","33vpaq7p","311","cnn_lstm_50_10_thesis_51"
"fist","pinch","5","33vpaq7p","713","cnn_lstm_50_10_thesis_51"
"fist","waveIn","5","33vpaq7p","420","cnn_lstm_50_10_thesis_51"
"fist","waveOut","5","33vpaq7p","117","cnn_lstm_50_10_thesis_51"
"noGesture","fist","5","33vpaq7p","7","cnn_lstm_50_10_thesis_51"
"noGesture","noGesture","5","33vpaq7p","7510","cnn_lstm_50_10_thesis_51"
"noGesture","open","5","33vpaq7p","19","cnn_lstm_50_10_thesis_51"
"noGesture","pinch","5","33vpaq7p","63","cnn_lstm_50_10_thesis_51"
"noGesture","waveIn","5","33vpaq7p","50","cnn_lstm_50_10_thesis_51"
"noGesture","waveOut","5","33vpaq7p","1","cnn_lstm_50_10_thesis_51"
"open","fist","5","33vpaq7p","324","cnn_lstm_50_10_thesis_51"
"open","noGesture","5","33vpaq7p","1","cnn_lstm_50_10_thesis_51"
"open","open","5","33vpaq7p","5139","cnn_lstm_50_10_thesis_51"
"open","pinch","5","33vpaq7p","991","cnn_lstm_50_10_thesis_51"
"open","waveIn","5","33vpaq7p","93","cnn_lstm_50_10_thesis_51"
"open","waveOut","5","33vpaq7p","1102","cnn_lstm_50_10_thesis_51"
"pinch","fist","5","33vpaq7p","383","cnn_lstm_50_10_thesis_51"
"pinch","noGesture","5","33vpaq7p","28","cnn_lstm_50_10_thesis_51"
"pinch","open","5","33vpaq7p","971","cnn_lstm_50_10_thesis_51"
"pinch","pinch","5","33vpaq7p","5878","cnn_lstm_50_10_thesis_51"
"pinch","waveIn","5","33vpaq7p","153","cnn_lstm_50_10_thesis_51"
"pinch","waveOut","5","33vpaq7p","237","cnn_lstm_50_10_thesis_51"
"waveIn","fist","5","33vpaq7p","648","cnn_lstm_50_10_thesis_51"
"waveIn","noGesture","5","33vpaq7p","13","cnn_lstm_50_10_thesis_51"
"waveIn","open","5","33vpaq7p","123","cnn_lstm_50_10_thesis_51"
"waveIn","pinch","5","33vpaq7p","477","cnn_lstm_50_10_thesis_51"
"waveIn","waveIn","5","33vpaq7p","6329","cnn_lstm_50_10_thesis_51"
"waveIn","waveOut","5","33vpaq7p","60","cnn_lstm_50_10_thesis_51"
"waveOut","fist","5","33vpaq7p","30","cnn_lstm_50_10_thesis_51"
"waveOut","noGesture","5","33vpaq7p","5","cnn_lstm_50_10_thesis_51"
"waveOut","open","5","33vpaq7p","449","cnn_lstm_50_10_thesis_51"
"waveOut","pinch","5","33vpaq7p","216","cnn_lstm_50_10_thesis_51"
"waveOut","waveIn","5","33vpaq7p","4","cnn_lstm_50_10_thesis_51"
"waveOut","waveOut","5","33vpaq7p","6946","cnn_lstm_50_10_thesis_51"
"fist","fist","4","7o53y979","6338","cnn_lstm_50_10_thesis_50"
"fist","noGesture","4","7o53y979","6","cnn_lstm_50_10_thesis_50"
"fist","open","4","7o53y979","421","cnn_lstm_50_10_thesis_50"
"fist","pinch","4","7o53y979","437","cnn_lstm_50_10_thesis_50"
"fist","waveIn","4","7o53y979","439","cnn_lstm_50_10_thesis_50"
"fist","waveOut","4","7o53y979","9","cnn_lstm_50_10_thesis_50"
"noGesture","fist","4","7o53y979","4","cnn_lstm_50_10_thesis_50"
"noGesture","noGesture","4","7o53y979","7559","cnn_lstm_50_10_thesis_50"
"noGesture","open","4","7o53y979","30","cnn_lstm_50_10_thesis_50"
"noGesture","pinch","4","7o53y979","17","cnn_lstm_50_10_thesis_50"
"noGesture","waveIn","4","7o53y979","40","cnn_lstm_50_10_thesis_50"
"noGesture","waveOut","4","7o53y979","0","cnn_lstm_50_10_thesis_50"
"open","fist","4","7o53y979","395","cnn_lstm_50_10_thesis_50"
"open","noGesture","4","7o53y979","3","cnn_lstm_50_10_thesis_50"
"open","open","4","7o53y979","5279","cnn_lstm_50_10_thesis_50"
"open","pinch","4","7o53y979","1408","cnn_lstm_50_10_thesis_50"
"open","waveIn","4","7o53y979","141","cnn_lstm_50_10_thesis_50"
"open","waveOut","4","7o53y979","424","cnn_lstm_50_10_thesis_50"
"pinch","fist","4","7o53y979","512","cnn_lstm_50_10_thesis_50"
"pinch","noGesture","4","7o53y979","38","cnn_lstm_50_10_thesis_50"
"pinch","open","4","7o53y979","1145","cnn_lstm_50_10_thesis_50"
"pinch","pinch","4","7o53y979","5530","cnn_lstm_50_10_thesis_50"
"pinch","waveIn","4","7o53y979","325","cnn_lstm_50_10_thesis_50"
"pinch","waveOut","4","7o53y979","100","cnn_lstm_50_10_thesis_50"
"waveIn","fist","4","7o53y979","374","cnn_lstm_50_10_thesis_50"
"waveIn","noGesture","4","7o53y979","22","cnn_lstm_50_10_thesis_50"
"waveIn","open","4","7o53y979","118","cnn_lstm_50_10_thesis_50"
"waveIn","pinch","4","7o53y979","272","cnn_lstm_50_10_thesis_50"
"waveIn","waveIn","4","7o53y979","6847","cnn_lstm_50_10_thesis_50"
"waveIn","waveOut","4","7o53y979","17","cnn_lstm_50_10_thesis_50"
"waveOut","fist","4","7o53y979","94","cnn_lstm_50_10_thesis_50"
"waveOut","noGesture","4","7o53y979","6","cnn_lstm_50_10_thesis_50"
"waveOut","open","4","7o53y979","1905","cnn_lstm_50_10_thesis_50"
"waveOut","pinch","4","7o53y979","291","cnn_lstm_50_10_thesis_50"
"waveOut","waveIn","4","7o53y979","95","cnn_lstm_50_10_thesis_50"
"waveOut","waveOut","4","7o53y979","5259","cnn_lstm_50_10_thesis_50"
"fist","fist","3","54kp5zg5","5686","cnn_lstm_50_10_thesis_49"
"fist","noGesture","3","54kp5zg5","7","cnn_lstm_50_10_thesis_49"
"fist","open","3","54kp5zg5","341","cnn_lstm_50_10_thesis_49"
"fist","pinch","3","54kp5zg5","631","cnn_lstm_50_10_thesis_49"
"fist","waveIn","3","54kp5zg5","962","cnn_lstm_50_10_thesis_49"
"fist","waveOut","3","54kp5zg5","23","cnn_lstm_50_10_thesis_49"
"noGesture","fist","3","54kp5zg5","0","cnn_lstm_50_10_thesis_49"
"noGesture","noGesture","3","54kp5zg5","7574","cnn_lstm_50_10_thesis_49"
"noGesture","open","3","54kp5zg5","16","cnn_lstm_50_10_thesis_49"
"noGesture","pinch","3","54kp5zg5","38","cnn_lstm_50_10_thesis_49"
"noGesture","waveIn","3","54kp5zg5","22","cnn_lstm_50_10_thesis_49"
"noGesture","waveOut","3","54kp5zg5","0","cnn_lstm_50_10_thesis_49"
"open","fist","3","54kp5zg5","317","cnn_lstm_50_10_thesis_49"
"open","noGesture","3","54kp5zg5","10","cnn_lstm_50_10_thesis_49"
"open","open","3","54kp5zg5","4749","cnn_lstm_50_10_thesis_49"
"open","pinch","3","54kp5zg5","1651","cnn_lstm_50_10_thesis_49"
"open","waveIn","3","54kp5zg5","201","cnn_lstm_50_10_thesis_49"
"open","waveOut","3","54kp5zg5","722","cnn_lstm_50_10_thesis_49"
"pinch","fist","3","54kp5zg5","263","cnn_lstm_50_10_thesis_49"
"pinch","noGesture","3","54kp5zg5","50","cnn_lstm_50_10_thesis_49"
"pinch","open","3","54kp5zg5","589","cnn_lstm_50_10_thesis_49"
"pinch","pinch","3","54kp5zg5","6129","cnn_lstm_50_10_thesis_49"
"pinch","waveIn","3","54kp5zg5","440","cnn_lstm_50_10_thesis_49"
"pinch","waveOut","3","54kp5zg5","179","cnn_lstm_50_10_thesis_49"
"waveIn","fist","3","54kp5zg5","273","cnn_lstm_50_10_thesis_49"
"waveIn","noGesture","3","54kp5zg5","80","cnn_lstm_50_10_thesis_49"
"waveIn","open","3","54kp5zg5","95","cnn_lstm_50_10_thesis_49"
"waveIn","pinch","3","54kp5zg5","327","cnn_lstm_50_10_thesis_49"
"waveIn","waveIn","3","54kp5zg5","6797","cnn_lstm_50_10_thesis_49"
"waveIn","waveOut","3","54kp5zg5","78","cnn_lstm_50_10_thesis_49"
"waveOut","fist","3","54kp5zg5","24","cnn_lstm_50_10_thesis_49"
"waveOut","noGesture","3","54kp5zg5","7","cnn_lstm_50_10_thesis_49"
"waveOut","open","3","54kp5zg5","600","cnn_lstm_50_10_thesis_49"
"waveOut","pinch","3","54kp5zg5","354","cnn_lstm_50_10_thesis_49"
"waveOut","waveIn","3","54kp5zg5","31","cnn_lstm_50_10_thesis_49"
"waveOut","waveOut","3","54kp5zg5","6634","cnn_lstm_50_10_thesis_49"
"fist","fist","2","bkx3v226","6011","cnn_lstm_50_10_thesis_48"
"fist","noGesture","2","bkx3v226","0","cnn_lstm_50_10_thesis_48"
"fist","open","2","bkx3v226","381","cnn_lstm_50_10_thesis_48"
"fist","pinch","2","bkx3v226","943","cnn_lstm_50_10_thesis_48"
"fist","waveIn","2","bkx3v226","312","cnn_lstm_50_10_thesis_48"
"fist","waveOut","2","bkx3v226","3","cnn_lstm_50_10_thesis_48"
"noGesture","fist","2","bkx3v226","2","cnn_lstm_50_10_thesis_48"
"noGesture","noGesture","2","bkx3v226","7336","cnn_lstm_50_10_thesis_48"
"noGesture","open","2","bkx3v226","39","cnn_lstm_50_10_thesis_48"
"noGesture","pinch","2","bkx3v226","201","cnn_lstm_50_10_thesis_48"
"noGesture","waveIn","2","bkx3v226","72","cnn_lstm_50_10_thesis_48"
"noGesture","waveOut","2","bkx3v226","0","cnn_lstm_50_10_thesis_48"
"open","fist","2","bkx3v226","485","cnn_lstm_50_10_thesis_48"
"open","noGesture","2","bkx3v226","1","cnn_lstm_50_10_thesis_48"
"open","open","2","bkx3v226","4352","cnn_lstm_50_10_thesis_48"
"open","pinch","2","bkx3v226","1313","cnn_lstm_50_10_thesis_48"
"open","waveIn","2","bkx3v226","74","cnn_lstm_50_10_thesis_48"
"open","waveOut","2","bkx3v226","1425","cnn_lstm_50_10_thesis_48"
"pinch","fist","2","bkx3v226","583","cnn_lstm_50_10_thesis_48"
"pinch","noGesture","2","bkx3v226","4","cnn_lstm_50_10_thesis_48"
"pinch","open","2","bkx3v226","1010","cnn_lstm_50_10_thesis_48"
"pinch","pinch","2","bkx3v226","5751","cnn_lstm_50_10_thesis_48"
"pinch","waveIn","2","bkx3v226","214","cnn_lstm_50_10_thesis_48"
"pinch","waveOut","2","bkx3v226","88","cnn_lstm_50_10_thesis_48"
"waveIn","fist","2","bkx3v226","593","cnn_lstm_50_10_thesis_48"
"waveIn","noGesture","2","bkx3v226","2","cnn_lstm_50_10_thesis_48"
"waveIn","open","2","bkx3v226","141","cnn_lstm_50_10_thesis_48"
"waveIn","pinch","2","bkx3v226","540","cnn_lstm_50_10_thesis_48"
"waveIn","waveIn","2","bkx3v226","6344","cnn_lstm_50_10_thesis_48"
"waveIn","waveOut","2","bkx3v226","30","cnn_lstm_50_10_thesis_48"
"waveOut","fist","2","bkx3v226","62","cnn_lstm_50_10_thesis_48"
"waveOut","noGesture","2","bkx3v226","5","cnn_lstm_50_10_thesis_48"
"waveOut","open","2","bkx3v226","920","cnn_lstm_50_10_thesis_48"
"waveOut","pinch","2","bkx3v226","176","cnn_lstm_50_10_thesis_48"
"waveOut","waveIn","2","bkx3v226","33","cnn_lstm_50_10_thesis_48"
"waveOut","waveOut","2","bkx3v226","6454","cnn_lstm_50_10_thesis_48"
"fist","fist","1","ginqixbj","6506","cnn_lstm_50_10_thesis_47"
"fist","noGesture","1","ginqixbj","5","cnn_lstm_50_10_thesis_47"
"fist","open","1","ginqixbj","304","cnn_lstm_50_10_thesis_47"
"fist","pinch","1","ginqixbj","534","cnn_lstm_50_10_thesis_47"
"fist","waveIn","1","ginqixbj","257","cnn_lstm_50_10_thesis_47"
"fist","waveOut","1","ginqixbj","44","cnn_lstm_50_10_thesis_47"
"noGesture","fist","1","ginqixbj","3","cnn_lstm_50_10_thesis_47"
"noGesture","noGesture","1","ginqixbj","7527","cnn_lstm_50_10_thesis_47"
"noGesture","open","1","ginqixbj","23","cnn_lstm_50_10_thesis_47"
"noGesture","pinch","1","ginqixbj","30","cnn_lstm_50_10_thesis_47"
"noGesture","waveIn","1","ginqixbj","52","cnn_lstm_50_10_thesis_47"
"noGesture","waveOut","1","ginqixbj","15","cnn_lstm_50_10_thesis_47"
"open","fist","1","ginqixbj","338","cnn_lstm_50_10_thesis_47"
"open","noGesture","1","ginqixbj","3","cnn_lstm_50_10_thesis_47"
"open","open","1","ginqixbj","4419","cnn_lstm_50_10_thesis_47"
"open","pinch","1","ginqixbj","1705","cnn_lstm_50_10_thesis_47"
"open","waveIn","1","ginqixbj","72","cnn_lstm_50_10_thesis_47"
"open","waveOut","1","ginqixbj","1113","cnn_lstm_50_10_thesis_47"
"pinch","fist","1","ginqixbj","686","cnn_lstm_50_10_thesis_47"
"pinch","noGesture","1","ginqixbj","28","cnn_lstm_50_10_thesis_47"
"pinch","open","1","ginqixbj","685","cnn_lstm_50_10_thesis_47"
"pinch","pinch","1","ginqixbj","5903","cnn_lstm_50_10_thesis_47"
"pinch","waveIn","1","ginqixbj","75","cnn_lstm_50_10_thesis_47"
"pinch","waveOut","1","ginqixbj","273","cnn_lstm_50_10_thesis_47"
"waveIn","fist","1","ginqixbj","668","cnn_lstm_50_10_thesis_47"
"waveIn","noGesture","1","ginqixbj","28","cnn_lstm_50_10_thesis_47"
"waveIn","open","1","ginqixbj","66","cnn_lstm_50_10_thesis_47"
"waveIn","pinch","1","ginqixbj","1040","cnn_lstm_50_10_thesis_47"
"waveIn","waveIn","1","ginqixbj","5796","cnn_lstm_50_10_thesis_47"
"waveIn","waveOut","1","ginqixbj","52","cnn_lstm_50_10_thesis_47"
"waveOut","fist","1","ginqixbj","77","cnn_lstm_50_10_thesis_47"
