"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","4","sm0xxzlv","7247","cnn_lstm_300_50_thesis_pretrained_51"
"fist","noGesture","4","sm0xxzlv","8","cnn_lstm_300_50_thesis_pretrained_51"
"fist","open","4","sm0xxzlv","149","cnn_lstm_300_50_thesis_pretrained_51"
"fist","pinch","4","sm0xxzlv","87","cnn_lstm_300_50_thesis_pretrained_51"
"fist","waveIn","4","sm0xxzlv","147","cnn_lstm_300_50_thesis_pretrained_51"
"fist","waveOut","4","sm0xxzlv","12","cnn_lstm_300_50_thesis_pretrained_51"
"noGesture","fist","4","sm0xxzlv","3","cnn_lstm_300_50_thesis_pretrained_51"
"noGesture","noGesture","4","sm0xxzlv","7571","cnn_lstm_300_50_thesis_pretrained_51"
"noGesture","open","4","sm0xxzlv","8","cnn_lstm_300_50_thesis_pretrained_51"
"noGesture","pinch","4","sm0xxzlv","25","cnn_lstm_300_50_thesis_pretrained_51"
"noGesture","waveIn","4","sm0xxzlv","39","cnn_lstm_300_50_thesis_pretrained_51"
"noGesture","waveOut","4","sm0xxzlv","4","cnn_lstm_300_50_thesis_pretrained_51"
"open","fist","4","sm0xxzlv","132","cnn_lstm_300_50_thesis_pretrained_51"
"open","noGesture","4","sm0xxzlv","11","cnn_lstm_300_50_thesis_pretrained_51"
"open","open","4","sm0xxzlv","6472","cnn_lstm_300_50_thesis_pretrained_51"
"open","pinch","4","sm0xxzlv","301","cnn_lstm_300_50_thesis_pretrained_51"
"open","waveIn","4","sm0xxzlv","113","cnn_lstm_300_50_thesis_pretrained_51"
"open","waveOut","4","sm0xxzlv","621","cnn_lstm_300_50_thesis_pretrained_51"
"pinch","fist","4","sm0xxzlv","159","cnn_lstm_300_50_thesis_pretrained_51"
"pinch","noGesture","4","sm0xxzlv","29","cnn_lstm_300_50_thesis_pretrained_51"
"pinch","open","4","sm0xxzlv","159","cnn_lstm_300_50_thesis_pretrained_51"
"pinch","pinch","4","sm0xxzlv","7097","cnn_lstm_300_50_thesis_pretrained_51"
"pinch","waveIn","4","sm0xxzlv","65","cnn_lstm_300_50_thesis_pretrained_51"
"pinch","waveOut","4","sm0xxzlv","141","cnn_lstm_300_50_thesis_pretrained_51"
"waveIn","fist","4","sm0xxzlv","186","cnn_lstm_300_50_thesis_pretrained_51"
"waveIn","noGesture","4","sm0xxzlv","10","cnn_lstm_300_50_thesis_pretrained_51"
"waveIn","open","4","sm0xxzlv","63","cnn_lstm_300_50_thesis_pretrained_51"
"waveIn","pinch","4","sm0xxzlv","62","cnn_lstm_300_50_thesis_pretrained_51"
"waveIn","waveIn","4","sm0xxzlv","7255","cnn_lstm_300_50_thesis_pretrained_51"
"waveIn","waveOut","4","sm0xxzlv","74","cnn_lstm_300_50_thesis_pretrained_51"
"waveOut","fist","4","sm0xxzlv","24","cnn_lstm_300_50_thesis_pretrained_51"
"waveOut","noGesture","4","sm0xxzlv","7","cnn_lstm_300_50_thesis_pretrained_51"
"waveOut","open","4","sm0xxzlv","343","cnn_lstm_300_50_thesis_pretrained_51"
"waveOut","pinch","4","sm0xxzlv","29","cnn_lstm_300_50_thesis_pretrained_51"
"waveOut","waveIn","4","sm0xxzlv","36","cnn_lstm_300_50_thesis_pretrained_51"
"waveOut","waveOut","4","sm0xxzlv","7211","cnn_lstm_300_50_thesis_pretrained_51"
"fist","fist","3","ti3e2z6f","7108","cnn_lstm_300_50_thesis_pretrained_50"
"fist","noGesture","3","ti3e2z6f","5","cnn_lstm_300_50_thesis_pretrained_50"
"fist","open","3","ti3e2z6f","214","cnn_lstm_300_50_thesis_pretrained_50"
"fist","pinch","3","ti3e2z6f","163","cnn_lstm_300_50_thesis_pretrained_50"
"fist","waveIn","3","ti3e2z6f","143","cnn_lstm_300_50_thesis_pretrained_50"
"fist","waveOut","3","ti3e2z6f","17","cnn_lstm_300_50_thesis_pretrained_50"
"noGesture","fist","3","ti3e2z6f","1","cnn_lstm_300_50_thesis_pretrained_50"
"noGesture","noGesture","3","ti3e2z6f","7570","cnn_lstm_300_50_thesis_pretrained_50"
"noGesture","open","3","ti3e2z6f","2","cnn_lstm_300_50_thesis_pretrained_50"
"noGesture","pinch","3","ti3e2z6f","34","cnn_lstm_300_50_thesis_pretrained_50"
"noGesture","waveIn","3","ti3e2z6f","43","cnn_lstm_300_50_thesis_pretrained_50"
"noGesture","waveOut","3","ti3e2z6f","0","cnn_lstm_300_50_thesis_pretrained_50"
"open","fist","3","ti3e2z6f","79","cnn_lstm_300_50_thesis_pretrained_50"
"open","noGesture","3","ti3e2z6f","8","cnn_lstm_300_50_thesis_pretrained_50"
"open","open","3","ti3e2z6f","6646","cnn_lstm_300_50_thesis_pretrained_50"
"open","pinch","3","ti3e2z6f","381","cnn_lstm_300_50_thesis_pretrained_50"
"open","waveIn","3","ti3e2z6f","70","cnn_lstm_300_50_thesis_pretrained_50"
"open","waveOut","3","ti3e2z6f","466","cnn_lstm_300_50_thesis_pretrained_50"
"pinch","fist","3","ti3e2z6f","72","cnn_lstm_300_50_thesis_pretrained_50"
"pinch","noGesture","3","ti3e2z6f","33","cnn_lstm_300_50_thesis_pretrained_50"
"pinch","open","3","ti3e2z6f","181","cnn_lstm_300_50_thesis_pretrained_50"
"pinch","pinch","3","ti3e2z6f","7223","cnn_lstm_300_50_thesis_pretrained_50"
"pinch","waveIn","3","ti3e2z6f","26","cnn_lstm_300_50_thesis_pretrained_50"
"pinch","waveOut","3","ti3e2z6f","115","cnn_lstm_300_50_thesis_pretrained_50"
"waveIn","fist","3","ti3e2z6f","190","cnn_lstm_300_50_thesis_pretrained_50"
"waveIn","noGesture","3","ti3e2z6f","18","cnn_lstm_300_50_thesis_pretrained_50"
"waveIn","open","3","ti3e2z6f","66","cnn_lstm_300_50_thesis_pretrained_50"
"waveIn","pinch","3","ti3e2z6f","93","cnn_lstm_300_50_thesis_pretrained_50"
"waveIn","waveIn","3","ti3e2z6f","7232","cnn_lstm_300_50_thesis_pretrained_50"
"waveIn","waveOut","3","ti3e2z6f","51","cnn_lstm_300_50_thesis_pretrained_50"
"waveOut","fist","3","ti3e2z6f","21","cnn_lstm_300_50_thesis_pretrained_50"
"waveOut","noGesture","3","ti3e2z6f","14","cnn_lstm_300_50_thesis_pretrained_50"
"waveOut","open","3","ti3e2z6f","425","cnn_lstm_300_50_thesis_pretrained_50"
"waveOut","pinch","3","ti3e2z6f","35","cnn_lstm_300_50_thesis_pretrained_50"
"waveOut","waveIn","3","ti3e2z6f","73","cnn_lstm_300_50_thesis_pretrained_50"
"waveOut","waveOut","3","ti3e2z6f","7082","cnn_lstm_300_50_thesis_pretrained_50"
"fist","fist","2","xkznd17g","7143","cnn_lstm_300_50_thesis_pretrained_49"
"fist","noGesture","2","xkznd17g","8","cnn_lstm_300_50_thesis_pretrained_49"
"fist","open","2","xkznd17g","172","cnn_lstm_300_50_thesis_pretrained_49"
"fist","pinch","2","xkznd17g","129","cnn_lstm_300_50_thesis_pretrained_49"
"fist","waveIn","2","xkznd17g","170","cnn_lstm_300_50_thesis_pretrained_49"
"fist","waveOut","2","xkznd17g","28","cnn_lstm_300_50_thesis_pretrained_49"
"noGesture","fist","2","xkznd17g","1","cnn_lstm_300_50_thesis_pretrained_49"
"noGesture","noGesture","2","xkznd17g","7577","cnn_lstm_300_50_thesis_pretrained_49"
"noGesture","open","2","xkznd17g","14","cnn_lstm_300_50_thesis_pretrained_49"
"noGesture","pinch","2","xkznd17g","20","cnn_lstm_300_50_thesis_pretrained_49"
"noGesture","waveIn","2","xkznd17g","34","cnn_lstm_300_50_thesis_pretrained_49"
"noGesture","waveOut","2","xkznd17g","4","cnn_lstm_300_50_thesis_pretrained_49"
"open","fist","2","xkznd17g","86","cnn_lstm_300_50_thesis_pretrained_49"
"open","noGesture","2","xkznd17g","10","cnn_lstm_300_50_thesis_pretrained_49"
"open","open","2","xkznd17g","6587","cnn_lstm_300_50_thesis_pretrained_49"
"open","pinch","2","xkznd17g","336","cnn_lstm_300_50_thesis_pretrained_49"
"open","waveIn","2","xkznd17g","95","cnn_lstm_300_50_thesis_pretrained_49"
"open","waveOut","2","xkznd17g","536","cnn_lstm_300_50_thesis_pretrained_49"
"pinch","fist","2","xkznd17g","100","cnn_lstm_300_50_thesis_pretrained_49"
"pinch","noGesture","2","xkznd17g","39","cnn_lstm_300_50_thesis_pretrained_49"
"pinch","open","2","xkznd17g","196","cnn_lstm_300_50_thesis_pretrained_49"
"pinch","pinch","2","xkznd17g","7151","cnn_lstm_300_50_thesis_pretrained_49"
"pinch","waveIn","2","xkznd17g","61","cnn_lstm_300_50_thesis_pretrained_49"
"pinch","waveOut","2","xkznd17g","103","cnn_lstm_300_50_thesis_pretrained_49"
"waveIn","fist","2","xkznd17g","166","cnn_lstm_300_50_thesis_pretrained_49"
"waveIn","noGesture","2","xkznd17g","23","cnn_lstm_300_50_thesis_pretrained_49"
"waveIn","open","2","xkznd17g","67","cnn_lstm_300_50_thesis_pretrained_49"
"waveIn","pinch","2","xkznd17g","80","cnn_lstm_300_50_thesis_pretrained_49"
"waveIn","waveIn","2","xkznd17g","7268","cnn_lstm_300_50_thesis_pretrained_49"
"waveIn","waveOut","2","xkznd17g","46","cnn_lstm_300_50_thesis_pretrained_49"
"waveOut","fist","2","xkznd17g","15","cnn_lstm_300_50_thesis_pretrained_49"
"waveOut","noGesture","2","xkznd17g","11","cnn_lstm_300_50_thesis_pretrained_49"
"waveOut","open","2","xkznd17g","449","cnn_lstm_300_50_thesis_pretrained_49"
"waveOut","pinch","2","xkznd17g","33","cnn_lstm_300_50_thesis_pretrained_49"
"waveOut","waveIn","2","xkznd17g","74","cnn_lstm_300_50_thesis_pretrained_49"
"waveOut","waveOut","2","xkznd17g","7068","cnn_lstm_300_50_thesis_pretrained_49"
"fist","fist","1","gdcbdjk1","7101","cnn_lstm_300_50_thesis_pretrained_48"
"fist","noGesture","1","gdcbdjk1","6","cnn_lstm_300_50_thesis_pretrained_48"
"fist","open","1","gdcbdjk1","226","cnn_lstm_300_50_thesis_pretrained_48"
"fist","pinch","1","gdcbdjk1","91","cnn_lstm_300_50_thesis_pretrained_48"
"fist","waveIn","1","gdcbdjk1","208","cnn_lstm_300_50_thesis_pretrained_48"
"fist","waveOut","1","gdcbdjk1","18","cnn_lstm_300_50_thesis_pretrained_48"
"noGesture","fist","1","gdcbdjk1","2","cnn_lstm_300_50_thesis_pretrained_48"
"noGesture","noGesture","1","gdcbdjk1","7563","cnn_lstm_300_50_thesis_pretrained_48"
"noGesture","open","1","gdcbdjk1","11","cnn_lstm_300_50_thesis_pretrained_48"
"noGesture","pinch","1","gdcbdjk1","18","cnn_lstm_300_50_thesis_pretrained_48"
"noGesture","waveIn","1","gdcbdjk1","53","cnn_lstm_300_50_thesis_pretrained_48"
"noGesture","waveOut","1","gdcbdjk1","3","cnn_lstm_300_50_thesis_pretrained_48"
"open","fist","1","gdcbdjk1","88","cnn_lstm_300_50_thesis_pretrained_48"
"open","noGesture","1","gdcbdjk1","2","cnn_lstm_300_50_thesis_pretrained_48"
"open","open","1","gdcbdjk1","6754","cnn_lstm_300_50_thesis_pretrained_48"
"open","pinch","1","gdcbdjk1","271","cnn_lstm_300_50_thesis_pretrained_48"
"open","waveIn","1","gdcbdjk1","99","cnn_lstm_300_50_thesis_pretrained_48"
"open","waveOut","1","gdcbdjk1","436","cnn_lstm_300_50_thesis_pretrained_48"
"pinch","fist","1","gdcbdjk1","98","cnn_lstm_300_50_thesis_pretrained_48"
"pinch","noGesture","1","gdcbdjk1","18","cnn_lstm_300_50_thesis_pretrained_48"
"pinch","open","1","gdcbdjk1","247","cnn_lstm_300_50_thesis_pretrained_48"
"pinch","pinch","1","gdcbdjk1","7050","cnn_lstm_300_50_thesis_pretrained_48"
"pinch","waveIn","1","gdcbdjk1","122","cnn_lstm_300_50_thesis_pretrained_48"
"pinch","waveOut","1","gdcbdjk1","115","cnn_lstm_300_50_thesis_pretrained_48"
"waveIn","fist","1","gdcbdjk1","154","cnn_lstm_300_50_thesis_pretrained_48"
"waveIn","noGesture","1","gdcbdjk1","8","cnn_lstm_300_50_thesis_pretrained_48"
"waveIn","open","1","gdcbdjk1","71","cnn_lstm_300_50_thesis_pretrained_48"
"waveIn","pinch","1","gdcbdjk1","79","cnn_lstm_300_50_thesis_pretrained_48"
"waveIn","waveIn","1","gdcbdjk1","7283","cnn_lstm_300_50_thesis_pretrained_48"
"waveIn","waveOut","1","gdcbdjk1","55","cnn_lstm_300_50_thesis_pretrained_48"
"waveOut","fist","1","gdcbdjk1","14","cnn_lstm_300_50_thesis_pretrained_48"
"waveOut","noGesture","1","gdcbdjk1","7","cnn_lstm_300_50_thesis_pretrained_48"
"waveOut","open","1","gdcbdjk1","451","cnn_lstm_300_50_thesis_pretrained_48"
"waveOut","pinch","1","gdcbdjk1","20","cnn_lstm_300_50_thesis_pretrained_48"
"waveOut","waveIn","1","gdcbdjk1","41","cnn_lstm_300_50_thesis_pretrained_48"
"waveOut","waveOut","1","gdcbdjk1","7117","cnn_lstm_300_50_thesis_pretrained_48"
